-8.9884 72.9165 107.0899 101.7936 82.5303 85.2607 102.8174 104.9005
29.6691 4.6270 81.0056 77.6273 73.3297 11.8504 80.5204 69.4614
-3.0624 32.7325 54.3443 49.9738 44.7971 44.3489 54.9265 54.3693
-5.0673 60.0725 92.1684 86.2758 75.3763 76.0947 91.8118 91.7416
2.1298 -2.8470 0.0644 -1.4792 3.8980 2.1605 3.1203 1.1844
14.9551 4.0721 45.3961 42.8243 41.5558 10.2364 46.0109 39.9150
-0.4552 12.5608 23.2598 20.6813 20.7794 19.7941 24.8403 23.7557
0.0951 -1.7662 3.7583 2.1084 4.4438 2.9625 5.5529 4.3681
14.2136 -4.3791 34.2810 32.5167 31.8540 0.2381 35.0719 28.4477
28.0898 -7.1754 65.1501 62.6456 58.2918 -3.5002 63.9538 52.6652
-6.0093 31.3285 54.7450 50.7058 41.0851 41.1546 53.1808 53.9274
-8.2581 94.6336 138.8679 131.2542 111.4100 114.0729 135.9510 137.4180
-3.6170 50.4835 74.7084 70.2316 61.2736 62.2628 74.0709 74.2766
8.8473 68.0361 133.5109 127.2770 110.9744 82.5393 130.7160 126.0837
-4.7263 60.4487 88.6279 83.5721 71.7931 73.4047 87.2360 87.7721
10.2004 54.4673 113.8858 108.9229 94.6606 66.1394 111.0672 106.9856
-9.0516 113.1639 161.9410 153.7634 130.1766 134.0028 158.0623 160.1101
24.3911 66.4787 162.5466 156.5188 137.4847 79.4520 158.2410 149.0233
-0.8032 6.0915 11.2119 10.1554 9.1292 8.8796 11.4116 11.2376
-3.7130 22.7825 36.9603 34.5807 27.7599 28.3322 35.6076 36.1912
0.4064 -0.5433 0.0123 -0.2823 0.7439 0.4123 0.5954 0.2260
-6.7526 35.1088 56.0911 52.8389 41.1974 42.1733 53.3373 54.4973
39.9879 48.5121 170.2361 165.4577 145.1917 57.0982 164.2075 150.7008
11.1875 -3.2688 35.3517 34.4841 27.0343 -3.0493 32.2547 28.4754
21.4534 46.1475 138.5598 133.9817 112.3472 54.2171 131.9548 124.2695
8.1925 31.5337 83.4096 80.4027 65.4631 36.7816 78.8324 75.5911
13.5010 -0.5565 33.9277 33.6177 28.4400 -1.2614 31.6161 27.4082
-2.3744 10.6160 16.1520 15.4814 10.7076 11.5673 14.5858 15.3182
14.7046 -12.9396 15.0795 16.2589 13.9214 -16.1432 13.4776 9.0067
